Time [s],Pressure [mmHg]
5.300000000000001,123.16039335367921
5.325,122.88911495422177
5.3500000000000005,122.48219735503561
5.375,122.21091895557817
5.4,122.00746015598509
5.425000000000001,122.21091895557817
5.45,122.1430993557138
5.4750000000000005,121.66836215666328
5.5,121.53272295693455
5.525,120.99016615801966
5.550000000000001,120.85452695829095
5.575,120.31197015937606
5.6000000000000005,120.04069175991862
5.625,119.5659545608681
5.65,119.5659545608681
5.675000000000001,119.0233977619532
5.7,118.95557816208884
5.7250000000000005,118.3452017633096
5.75,118.27738216344524
5.775,117.59918616480162
5.800000000000001,117.46354696507291
5.825,116.85317056629366
5.8500000000000005,116.85317056629366
5.875,116.17497456765005
5.9,116.17497456765005
5.925000000000001,115.5645981688708
5.95,115.49677856900644
5.9750000000000005,115.02204136995591
6.0,114.81858257036284
6.025,114.41166497117668
6.050000000000001,114.14038657171923
6.075,113.93692777212614
6.1000000000000005,113.53001017293998
6.125,113.39437097321125
6.15,113.25873177348254
6.175000000000001,113.53001017293998
6.2,113.19091217361817
6.2250000000000005,113.12309257375381
6.25,112.78399457443201
6.275,112.64835537470329
6.300000000000001,112.03797897592405
6.325,111.83452017633095
6.3500000000000005,111.08850457782299
6.375,110.88504577822991
6.4,110.27466937945066
6.425000000000001,110.00339097999321
6.45,109.32519498134961
6.4750000000000005,109.18955578162088
6.5,108.57917938284164
6.525,108.44354018311292
6.550000000000001,107.90098338419803
6.575,107.69752458460495
6.6000000000000005,107.22278738555443
6.625,107.0871481858257
6.65,106.61241098677517
6.675000000000001,106.4089521871821
6.7,106.00203458799594
6.7250000000000005,105.59511698880976
6.75,105.39165818921668
6.775,104.91692099016616
6.800000000000001,104.78128179043743
6.825,104.1709053916582
6.8500000000000005,104.03526619192947
6.875,103.56052899287894
6.9,103.89962699220075
6.925000000000001,103.76398779247202
6.95,103.76398779247202
6.9750000000000005,103.15361139369277
7.0,103.08579179382842
7.025,102.54323499491353
7.050000000000001,102.4075957951848
7.075,101.79721939640557
7.1000000000000005,101.7293997965412
7.125,101.25466259749068
7.15,101.18684299762631
7.175000000000001,100.71210579857579
7.2,100.44082739911835
7.2250000000000005,100.1695489996609
7.25,99.8304510003391
7.275,99.55917260088165
7.300000000000001,99.22007460155984
7.325,99.01661580196676
7.3500000000000005,98.47405900305188
7.375,98.47405900305188
7.4,97.93150220413699
7.425000000000001,97.93150220413699
7.45,97.3889454052221
7.4750000000000005,97.45676500508647
7.5,96.84638860630723
7.525,96.77856900644286
7.550000000000001,96.30383180739234
7.575,96.30383180739234
7.6000000000000005,95.76127500847745
7.625,95.76127500847745
7.65,95.1508986096982
7.675000000000001,95.1508986096982
7.7,95.1508986096982
7.7250000000000005,95.28653780942692
7.75,95.21871820956257
7.775,94.94743981010512
7.800000000000001,94.74398101051204
7.825,94.40488301119024
7.8500000000000005,94.20142421159716
7.875,93.65886741268227
7.9,93.45540861308918
7.925000000000001,93.04849101390302
7.95,93.04849101390302
7.9750000000000005,92.50593421498813
8.0,92.5737538148525
8.025,92.03119701593761
8.05,92.03119701593761
8.075000000000001,91.42082061715836
8.1,91.42082061715836
8.125,90.87826381824347
8.15,90.87826381824347
8.175,90.33570701932858
8.200000000000001,90.33570701932858
8.225,89.92878942014242
8.25,89.7931502204137
8.275,89.58969142082061
8.3,89.31841302136317
8.325000000000001,89.04713462190573
8.35,88.77585622244828
8.375,88.50457782299084
8.4,88.09766022380468
8.425,88.02984062394032
8.450000000000001,87.5551034248898
8.475,87.5551034248898
8.5,87.35164462529671
8.525,87.5551034248898
8.55,87.08036622583927
8.575000000000001,87.14818582570364
8.6,86.6734486266531
8.625,86.53780942692438
8.65,86.13089182773821
8.675,86.13089182773821
8.700000000000001,85.58833502882332
8.725,85.65615462868769
8.75,85.24923702950153
8.775,85.18141742963716
8.8,84.774499830451
8.825000000000001,84.57104103085791
8.85,84.36758223126483
8.875,84.02848423194303
8.9,83.89284503221431
8.925,83.68938623262123
8.950000000000001,83.62156663275687
8.975,83.21464903357071
9.0,83.21464903357071
9.025,82.73991183452017
9.05,82.73991183452017
9.075000000000001,82.26517463546965
9.1,82.26517463546965
9.125,81.85825703628349
9.15,81.92607663614784
9.175,81.45133943709732
9.200000000000001,81.45133943709732
9.225,81.11224143777552
9.25,81.04442183791116
9.275,80.56968463886064
9.3,80.77314343845372
9.325000000000001,80.50186503899627
9.35,80.50186503899627
9.375,80.16276703967446
9.4,80.02712783994575
9.425,79.82366904035266
9.450000000000001,79.55239064089523
9.475,79.28111224143778
9.5,79.00983384198034
9.525,78.87419464225161
9.55,78.46727704306545
9.575000000000001,78.5350966429298
9.600000000000001,78.06035944387928
9.625,78.12817904374364
9.65,77.72126144455747
9.675,77.72126144455747
9.700000000000001,77.31434384537131
9.725000000000001,77.38216344523568
9.75,76.90742624618515
9.775,76.9752458460495
9.8,76.50050864699898
9.825000000000001,76.56832824686335
9.850000000000001,76.16141064767717
9.875,76.16141064767717
9.9,75.9579518480841
9.925,75.6188538487623
9.950000000000001,75.48321464903357
9.975000000000001,75.21193624957613
10.0,75.07629704984741
10.025,74.7371990505256
10.05,74.60155985079687
10.075000000000001,74.12682265174635
10.100000000000001,74.19464225161072
10.125,73.85554425228891
10.15,74.05900305188199
10.175,73.92336385215327
10.200000000000001,74.05900305188199
10.225000000000001,73.65208545269583
10.25,73.78772465242454
10.275,73.31298745337402
10.3,73.1773482536453
10.325000000000001,72.29569345540861
10.350000000000001,71.54967785690064
10.375,70.3967446592065
10.4,69.78636826042727
10.425,68.63343506273313
10.450000000000001,67.95523906408953
10.475000000000001,66.93794506612412
10.5,66.2597490674805
10.525,65.31027466937945
10.55,64.56425907087149
10.575000000000001,63.750423872499155
10.600000000000001,63.00440827399118
10.625,62.32621227534757
10.65,61.51237707697525
10.675,60.96982027806036
10.700000000000001,60.08816547982367
10.725000000000001,59.61342828077314
10.75,58.731773482536454
10.775,58.32485588335029
10.8,57.4432010851136
10.825000000000001,57.036283485927434
10.850000000000001,56.2224482875551
10.875,55.8833502882333
10.9,55.00169548999661
10.925,54.662597490674806
10.950000000000001,53.848762292302474
10.975000000000001,53.57748389284503
11.0,52.967107494065786
11.025,52.62800949474398
11.05,51.949813496100376
11.075000000000001,51.475076297049846
11.100000000000001,50.93251949813496
11.125,50.38996269922008
11.15,49.91522550016955
11.175,49.23702950152594
11.200000000000001,48.89793150220414
11.225000000000001,48.21973550356053
11.25,47.948457104103085
11.275,47.270261105459475
11.3,46.99898270600203
11.325000000000001,46.32078670735843
11.350000000000001,46.049508307900986
11.375,45.37131230925738
11.4,45.16785350966429
11.425,44.48965751102069
11.450000000000001,44.218379111563245
11.475000000000001,43.540183112919635
11.5,43.33672431332655
11.525,42.726347914547304
11.55,42.3872499152255
11.575000000000001,41.91251271617497
11.600000000000001,41.64123431671753
11.625,41.09867751780264
11.65,40.75957951848084
11.675,40.352661919294675
11.700000000000001,40.013563919972874
11.725000000000001,39.60664632078671
11.75,39.13190912173618
11.775,38.99626992200746
11.8,38.521532722956934
11.825000000000001,38.45371312309258
11.850000000000001,37.843336724313325
11.875,37.77551712444897
11.9,37.165140725669715
11.925,37.029501525940994
11.950000000000001,36.48694472702611
11.975000000000001,36.41912512716175
12.0,35.87656832824686
12.025,35.808748728382504
12.05,35.26619192946762
12.075000000000001,34.99491353001017
12.100000000000001,34.52017633095965
12.125,34.316717531366564
12.15,33.9097999321804
12.175,33.5707019328586
12.200000000000001,33.29942353340115
12.225000000000001,32.89250593421499
12.25,32.621227534757544
12.275,32.07867073584266
12.3,31.94303153611394
12.325000000000001,31.40047473719905
12.350000000000001,31.33265513733469
12.375,30.790098338419803
12.4,30.65445913869108
12.425,30.111902339776194
12.450000000000001,30.111902339776194
12.475000000000001,29.56934554086131
12.5,29.50152594099695
12.525,29.026788741946422
12.55,28.95896914208206
12.575000000000001,28.552051542895896
12.600000000000001,28.484231943031535
12.625,28.145133943709734
12.65,27.94167514411665
12.675,27.73821634452357
12.700000000000001,27.534757544930486
12.725000000000001,27.466937945066125
12.75,27.06002034587996
12.775,26.924381146151237
12.8,26.51746354696507
12.825000000000001,26.44964394710071
12.850000000000001,26.04272634791455
12.875,26.04272634791455
12.9,25.635808748728383
12.925,25.635808748728383
12.950000000000001,25.161071549677857
12.975000000000001,25.093251949813496
13.0,24.68633435062733
13.025,24.68633435062733
13.05,24.279416751441165
13.075000000000001,24.279416751441165
13.100000000000001,23.872499152255003
13.125,23.804679552390642
13.15,23.533401152933198
13.175,23.397761953204476
13.200000000000001,23.262122753475754
13.225000000000001,23.05866395388267
13.25,22.92302475415395
13.275,22.651746354696506
13.3,22.651746354696506
13.325000000000001,22.380467955239062
13.350000000000001,22.380467955239062
13.375,22.109189555781622
13.4,22.177009155645983
13.425,21.83791115632418
13.450000000000001,22.04136995591726
13.475000000000001,21.83791115632418
13.5,21.90573075618854
13.525,21.498813157002374
13.55,21.498813157002374
13.575000000000001,21.09189555781621
13.600000000000001,21.09189555781621
13.625,20.684977958630043
13.65,20.54933875890132
13.675,20.14242115971516
13.700000000000001,20.006781959986437
13.725000000000001,19.667683960664633
13.75,19.46422516107155
13.775,19.328585961342828
13.8,19.057307561885384
13.825000000000001,18.989487962021023
13.850000000000001,18.8538487622923
13.875,18.921668362156662
13.9,18.71820956256358
13.925,18.8538487622923
13.950000000000001,18.582570362834858
13.975000000000001,18.71820956256358
14.0,18.446931163106136
14.025,18.65038996269922
14.05,18.446931163106136
14.075000000000001,18.65038996269922
14.100000000000001,18.311291963377418
14.125,18.65038996269922
14.15,18.514750762970497
14.175,18.989487962021023
14.200000000000001,18.921668362156662
14.225000000000001,19.192946761614106
14.25,19.057307561885384
14.275,19.260766361478467
14.3,19.057307561885384
14.325000000000001,19.125127161749745
14.350000000000001,18.921668362156662
14.375,18.71820956256358
14.4,18.514750762970497
14.425,18.107833163784335
14.450000000000001,17.972193964055613
14.475000000000001,17.63309596473381
14.5,17.63309596473381
14.525,17.429637165140726
14.55,17.565276364869447
14.575000000000001,17.226178365547643
14.600000000000001,17.293997965412004
14.625,16.751441166497116
14.65,16.887080366225838
14.675,16.412343167175315
14.700000000000001,16.547982366904034
14.725000000000001,16.344523567310954
14.75,16.683621566632755
14.775,16.344523567310954
14.8,16.276703967446593
14.825000000000001,16.07324516785351
14.850000000000001,16.14106476771787
14.875,15.869786368260428
14.9,15.666327568667345
14.925,15.530688368938623
14.950000000000001,15.32722956934554
14.975000000000001,15.32722956934554
